"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2013",61.742,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2014",68.133,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2015",68.588,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2016",63.574,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",65.912,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",65.556,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",67.002,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",65.44,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2013",71.35,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2014",72.884,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2015",74.821,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2016",75.783,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",76.462,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",77.28,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",77.815,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",77.851,
"BEL","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",98.616,
"BEL","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",98.488,
"BEL","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",97.867,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2013",58.931,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2014",68.397,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2015",77.258,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2016",78.005,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",79.099,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",77.408,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",77.633,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",76.966,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2013",96.347,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2014",96.281,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2015",96.956,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2016",96.585,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",96.464,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",98.312,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",96.504,
