"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",12.798,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",12.926,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",12.537,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",12.346,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",12.709,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2018",12.541,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2019",11.999,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2020",12.125,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",13.891,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",13.666,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",13.455,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",13.403,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",13.168,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2018",13.07,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2019",12.97,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2020",12.283,
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",10.384,
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2018",7.704,
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2019",7.472,
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2020",7.515,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",24.181,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",24.116,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",24.113,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",23.931,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",23.638,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2018",23.458,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2019",23.29,
"FRA","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2020",23.155,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",8.335,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",8.054,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",7.83,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",7.761,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",7.617,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2018",7.479,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2019",7.446,
"DEU","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2020",7.365,
"HUN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",12.438,
"HUN","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",12.328,
